F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
42.38,-233.3,-211.31,119.41,Low,29.13,-129.67,10382.64,-6541.14,-40.7,18484.38,561.24,174.4,1.5,39.75,204.84,2323.22,-313.66,-4416.06,6.96,-3179.5,10.36,4752.62,2439.92,1226.73,3,10,-1825.34,1915.84,-70.35,-4.48,15.04,13.81,Rest,-315.93,-1046.09,629.88
10.48,-356.54,-193.83,114.11,High,24.51,-109.06,13133.07,-4893.32,-185.16,25982.82,738.18,172.89,17.34,37.35,454.05,2214.7,-101.17,-11481.2,16.26,-2940.24,5.96,4531.34,2775.68,879.39,12,6,-6259.92,260.76,-64.71,-8.2,2.65,17.83,Rest,-327.75,-811.36,427.34
55.33,-224.02,-262.07,79.86,Very high,10.44,-168.57,13638.78,-3917.26,-248.94,40896.99,523.95,165.02,19.86,11.55,250.65,1912.86,-229.07,-11312.24,5.82,-3282.1,0.52,5686.52,1805.56,1349.37,12,8,-2293.42,925.78,-70.35,-5.52,12.6,21.93,USA,-178.98,-1043.78,2962.94
-65.81,-78.34,-176.82,90.97,Very low,16.5,-147.11,32489.97,-4855.48,-179.42,10541.94,633.99,168.11,25.26,33.45,440.91,2154.04,-48.44,-12739.7,21.18,-4243.78,4.74,9615.04,2038.66,2140.62,3,6,-615.05,1367.2,-54.63,-19.18,12.17,18.18,Rest,-262.68,-1227.12,395.25
88.89,-277.78,-182.4,92.62,Low,28.02,-193.61,22338.12,-4087.14,-162.2,21960.33,468.39,131.84,11.46,50.91,258.36,2733.76,-95.17,-8703.68,99.9,-1211.62,4.54,6438.42,2481.22,2088.06,12,12,-3742.02,1512.02,-75.72,-20.46,15.1,22.46,Europe,-251.91,-817.98,-1177.91
93.88,-186.42,-189.75,126.92,Low,47.37,-169.26,18366.57,-5317.66,-135.6,5169.18,370.05,103.42,5.22,46.59,156.84,1861,-252,4767.56,791.16,-3352.5,7.22,6806.9,2479,1951.95,3,8,-6437.22,823.4,-63.03,-10.36,9.67,16.64,USA,-226.35,-562.87,1932.4
36.94,-184.84,-239.31,148.99,Very high,4.59,-162.39,37317.84,-3237.62,-226.76,24857.79,513.45,233.62,12.12,41.58,409.98,2729.38,-449.39,-7495.5,16894.2,-4552.18,15.8,3347.55,2673.64,3951.36,6,6,2446.31,624.96,-72.15,-9.14,13.72,20.5,USA,-462.21,-713.42,3828.68
67.47,-75.62,-277.89,82.61,Very high,4.44,-187.95,-40.14,-3947.16,-191.26,32394.81,533.49,178.63,19.02,18.99,163.02,2172.24,-208.09,-6702.34,0.06,-4674.66,2.88,6799.29,2441.76,-63.87,18,10,-629.92,1478.74,-68.76,-2.92,-1.37,23.47,Rest,-359.4,-999.99,54.59
79.69,-152.96,-166.31,119.73,Medium,-30.6,-140.54,12924.33,-4391.72,-180.62,14736.24,320.1,32.72,12.78,66.09,114.03,3303.78,-440,-5201.02,2.13,-4673.28,14.98,3837.46,2571.28,3183.57,15,2,-2992.32,1429.62,-71.49,-6.78,14.05,18.68,UK,-373.92,-1203.62,994.71
28.63,-235.48,-207.96,141.16,Medium,1.32,-153.86,16193.94,-3866.08,-133.32,21853.08,519.66,109.02,6.18,35.31,315,2801.9,32.66,-8056.02,1598.7,-2991.8,8.16,9208.53,2162.7,2663.7,15,10,4303.41,667.48,-80.31,-5,12.21,21.74,Rest,-339.18,-1179.58,1057.77
-19.59,-194.52,-177.86,149.3,Very low,5.19,-81.07,22164.3,-4907.06,-111.78,31799.34,249.24,198.58,18.66,44.43,215.64,1638.08,-96.05,-7185.5,14.19,-3810.46,2.76,10425.36,2592.62,1225.95,12,8,728.19,1388.08,-97.98,-4.04,11.96,12.36,Europe,-385.32,-1618.4,2447.28
59.92,-211.58,-202.01,108.19,Medium,-13.62,-152.81,-2123.28,-4235.88,-188.26,37097.43,545.73,375.32,12.48,35.88,357.57,2737.98,-569.94,-12002.64,68126.16,-3095.52,9.14,6528.28,2451.36,2308.26,9,6,-1372.61,241.26,-74.1,-2.44,11.96,15.08,UK,-385.71,-1227.16,2853.55
26.52,-299.06,-183.67,115.87,Very low,11.4,-145.69,9797.82,-4969.2,-167.42,43952.58,507.57,185.86,2.22,41.52,343.56,1795.16,-138.76,-9458.26,6.66,-3446.8,2.02,9537.68,1467.34,1868.73,18,6,-1201.6,1137.02,-66.18,-5.64,10.52,15.95,UK,-408.66,-1067.62,16.59
40.5,-227.74,-188.99,71.15,Very low,15.99,-65.42,-2353.02,-3749.88,-145.6,9528.87,578.43,191.12,8.58,32.31,261.6,2418.8,-303.23,-2962.08,0.03,-2238.62,5.22,11145.57,1711.22,2155.08,15,10,4997.33,1289.98,-72.51,-10.14,13.31,19.35,Rest,-322.74,-1172.56,-243.62
-8.76,-273.06,-144.18,109.35,Low,38.16,-150.12,14508.81,-4981.84,-159.68,34384.77,354.96,181.38,9.63,41.82,309.72,2185.98,-82.94,5782.54,1.59,-3604.86,6.56,10037.68,2697.7,1801.2,15,14,5456.46,320.98,-81.15,-10.16,12.78,18.05,Rest,-190.38,-1759.87,228.28
44.17,-156.62,-290.84,133.07,Very low,16.59,-167.07,23365.95,-4711.54,-175.18,33863.49,571.59,198.05,9.84,34.5,208.35,3306.94,-126.5,1886.28,9.21,-3689.3,3.18,9378.47,2725.12,1903.89,12,6,-3089.21,387.7,-68.01,-5.96,1.44,22.81,Rest,-303.78,-1173.14,562.32
17.21,-290.78,-132.61,117.68,Very high,7.38,-316.98,-6669.93,-4172.88,-142.26,23337.48,454.5,138.99,20.46,58.89,73.74,1658.24,-530.05,-15375.48,3.48,-4285.1,11.06,4320.09,3157.84,4002.21,21,8,1739.06,725.4,-67.17,-7.28,13.41,18.64,USA,-198.33,-1661.25,1073.08
64.73,-229.62,-141.22,47.35,Medium,8.67,-73.03,10372.41,-4855.66,-186.02,12029.91,544.14,109.84,11.28,62.73,262.05,1567,-372.22,-7081.54,38.1,-5111.46,4.56,2471.56,2339.46,2143.14,21,8,-1160.75,831.48,-71.22,-21.58,13.13,16.64,UK,-318.12,-1325.14,-692.14
85.61,-396.58,-150.9,100.51,Low,-13.29,-139.66,16394.07,-5551.44,-191.36,5760.24,695.85,89.48,-1.26,52.44,395.22,2550.16,-346.32,-14476.84,1.11,-3967.58,0.82,6719.18,1322.42,3443.64,9,6,-3902.32,30.56,-75.09,-8.86,9.64,17.74,Europe,-417.87,-574.94,-739
43.26,-193.28,-191.77,98.96,Low,27.78,-141.85,18221.94,-3351.3,-159.4,32890.77,595.02,133.55,8.28,31.59,88.83,1951.18,-459.53,7127.56,5.88,-5031.74,3.28,8078.99,2136.48,3322.23,18,6,-4289.32,1488.74,-79.11,-6.64,11.33,19.97,Europe,-396,-1791.49,2084.18
71.53,-181.54,-154.05,106.75,Medium,38.7,-87,17797.41,-4327.12,-127.36,32320.8,305.61,127.5,32.61,33.69,152.79,2988.4,-554.76,-14319.18,283.5,-3406.7,0.42,7901.93,3168.2,2096.94,9,8,-3400.38,821.28,-67.62,-2.84,12.73,21.54,UK,-190.02,-1501.58,2833.69
37,-206.72,-296.66,124.27,High,5.61,-176.66,10281.24,-4492.44,-113.9,21330.09,363.84,147.31,15.96,39.12,272.31,1576.62,-528.43,-10457.02,0.33,-4169.34,1.74,10229.58,2643.64,1551.33,6,6,4312.04,1392.34,-78.9,-1.14,13.89,17.87,Rest,-308.64,-1376.52,1181.12
78.93,-193.14,-173.66,167.16,Very high,6.09,-228.1,-12128.67,-4644.62,-254.92,20661.57,319.83,158.42,8.58,29.43,129.51,2195.4,-14.24,-11103.18,0.21,-4585.5,12.5,1933.54,2834.22,2325.84,24,8,1769.42,855.58,-72.84,-10.36,13.62,19.83,Europe,-248.79,-1624.29,-1030.26
50.4,-213.18,-134.97,157.92,High,24.45,-207.81,8345.4,-4442.62,-289.08,26939.37,654.54,102.48,15.39,37.65,233.61,3242.12,-218.11,-13034.54,4.14,-4229.6,8.58,6639.15,2753.46,3464.04,9,10,1170.24,70.78,-75.24,-1.2,13.35,20.5,UK,-428.91,-771.61,1222.45
29.15,-306.76,-210.49,73.58,High,14.4,-223.28,22851.18,-4436.26,-189.74,27165.93,525.27,166.45,17.58,36.33,304.65,2272.9,-873.46,-2543.16,3778.53,-3947.72,11.68,5306.95,2627,1739.97,15,4,-3935.49,905.56,-74.79,-9.74,6.87,21.66,Europe,-472.98,-1743.61,2987.93
-1.94,-198.36,-222.61,116.57,Very low,3.36,-163.94,-3956.88,-4502.08,-147.04,30015.42,498.9,170.56,16.71,31.26,229.5,3170.08,179.42,-7655.4,7.62,-3914.46,1.74,6469.33,2881.36,2181.6,12,12,-617.19,1214.38,-82.59,-13.88,16.52,19.08,UK,-248.61,-1138.74,-761.62
22.22,-206.88,-198.98,122.77,Medium,9.21,-276.85,5803.41,-3742.14,-267.02,28970.13,391.32,251.31,16.59,31.05,458.49,2388.9,-101.47,-9010.96,3.36,-4105.14,6.7,7412.6,2712.14,1939.5,12,10,-4176.11,2037.9,-80.76,-9.76,11.79,14.9,Europe,-85.83,-1047.5,-406.51
70.72,-267.7,-209.89,157.21,High,7.8,-149.31,3728.34,-2656.88,-141.36,17956.02,378.87,154.79,7.29,33.15,134.52,2460.76,-188.65,-10998.58,0.03,-3856.06,4.44,-1007.47,2662.08,2238.96,9,4,1314.42,1159.12,-80.28,-5.6,11.84,19.39,Europe,-205.17,-969.58,319.81
45.65,-209,-213.4,113.35,Very low,22.11,-165.21,2970.93,-4474.1,-208.64,505.5,693.6,163.09,4.29,33.36,285.6,2560.34,161.44,-9764.46,753.09,-3800.56,4.12,7509.55,2067.42,3080.34,24,6,-2978.7,764.62,-62.58,-3.28,16.01,21.17,UK,-288.3,-852.43,153.71
29.11,-234.08,-223.39,88.92,Very high,13.41,-107.7,13532.55,-4629.4,-189.78,18620.07,508.8,81.19,5.91,29.34,302.79,1830.92,-73.88,-4725.78,6.39,-3523.76,4.72,8187.64,2328.54,2716.38,12,6,-3574.27,-131.74,-68.61,-10.48,21.79,20.43,UK,-240.06,-1283.18,1377.59
72.96,-297.26,-176.07,116.62,Medium,7.23,-230.91,22572.06,-3887.48,-251.34,29616.75,526.86,163.53,19.2,39.24,108.06,2230.44,-902.18,-5514.66,0.9,-3305.84,7.36,6098.5,1915.46,3028.32,12,0,3740.55,199.74,-75.39,-11.46,13.93,30.22,Rest,-263.55,-1728.61,913.15
62.21,-494.44,-247.46,74.41,Low,-2.01,-121.56,6387.15,-4315.3,-82.8,33074.25,632.91,162.9,8.73,37.95,336.9,2017.94,22.37,-18353.86,664.86,-3967.22,3.62,2707.24,2136.28,1371,12,12,-8469.32,1266.9,-81.03,-4.78,14.54,18.42,UK,-344.25,-893.56,870.91
64.85,-204.58,-242.07,85.69,Medium,17.19,-288.9,10820.94,-4352.46,-145.66,24696.27,614.01,222.15,9.69,43.23,194.73,2489.3,-407.99,-5887.32,16.62,-3828.56,5.44,10334.66,1710,4224.18,15,6,2886.14,62.36,-75.45,-8.58,8.4,16.36,USA,-297.63,-1304.96,1773.29
49.46,-206.24,-172.83,146.73,Low,11.1,-105.51,21484.74,-4144.32,-190.32,34720.8,551.7,219.52,-0.12,31.56,183.84,2399.28,28.49,-7653.64,0.15,-3962.5,14.72,11396.52,2908.2,672.42,6,14,-2070.28,72.66,-121.68,-8.82,2.28,21.27,Rest,-319.35,-1130.08,105.75
8.67,-204.96,-244.47,112.5,High,18.51,-147.66,8223.69,-3957.8,-191.64,26088.42,536.64,204.03,-6.27,32.31,224.49,1647.04,-91.77,-1804.8,5.01,-2864.34,7.8,6162.69,2247.78,2573.97,12,0,-149.75,2286.36,-65.79,-12.76,11.24,18.97,USA,-289.62,-869.84,450.78
